Episode,Timestep,Drone_X,Drone_Y,Drone_Z,Payload_X,Payload_Y,Payload_Z
1,39,1.0875137,6.4041087e-06,4.0732384,1.0880230665228363,-1.1479473633804597e-13,3.0177625972512985
1,40,1.0872568,8.659055e-06,4.0604796,1.0880230665286532,-1.4931418226052197e-13,3.00482836926699
1,41,1.0869092,1.1363325e-05,4.047797,1.088023066504523,7.156397396778391e-13,2.992069003628728
1,42,1.0864501,1.4545746e-05,4.0352077,1.0880230664747645,7.72528730793533e-13,2.979507573604133
1,43,1.0858566,1.8231942e-05,4.022726,1.0880230666124333,-3.839645145443355e-12,2.9671672069015473
1,44,1.0851032,2.2443854e-05,4.010363,1.088023066759066,-3.612529286498779e-12,2.955069584083347
1,45,1.0841624,2.7199181e-05,3.9981277,1.0880230661516814,1.3948528794645826e-11,2.94323492405049
1,46,1.0830044,3.2511685e-05,3.9860258,1.0880230653802272,2.0840384342058507e-11,2.931678673162629
1,47,1.081598,3.8390954e-05,3.9740593,1.088023067279086,-3.318849373491861e-11,2.920403217417134
1,48,1.0799145,4.4842374e-05,3.9622262,1.0880230714849293,-1.0364374783016036e-10,2.909400746578492
1,49,1.0779276,5.1867868e-05,3.9505208,1.0880230679555756,5.57053128579495e-12,2.8986207276092304
1,50,1.0756137,5.9466718e-05,3.938935,1.088023053599089,2.7135063057462677e-10,2.8880239325825805
1,51,1.0729516,6.7634624e-05,3.9274597,1.0880230474465773,3.4648473803156853e-10,2.877593032509052
1,52,1.0699215,7.636464e-05,3.916084,1.0880230729874174,-1.461571295138769e-10,2.8672909978021504
1,53,1.0665065,8.5648644e-05,3.9047968,1.0880231235796898,-1.0124414444779481e-09,2.857104414259278
1,54,1.0626915,9.547722e-05,3.8935864,1.0880231418015185,-1.2112180481430789e-09,2.847021992943604
1,55,1.0584633,0.00010583922,3.8824403,1.0880230609126338,1.802089274032247e-10,2.837024191733967
1,56,1.0538112,0.000116722375,3.8713472,1.0880228876036255,2.666678882909333e-09,2.827091162415097
1,57,1.0487261,0.00012811416,3.8602953,1.0880228206052176,3.3252723658770473e-09,2.817205249591782
1,58,1.0432007,0.00014000159,3.849274,1.0880231803255653,-1.0939238974740289e-10,2.8073521433184365
1,59,1.0372297,0.00015237126,3.8382728,1.088023680698502,-5.1946787763660815e-09,2.797520643855138
1,60,1.030809,0.00016520981,3.8272834,1.0880240744415723,-1.01308362514691e-08,2.787717791013748
1,61,1.0239366,0.00017850404,3.816297,1.0880234672534104,-3.1146303104349088e-09,2.777944682814746
1,62,1.0166115,0.00019224078,3.8053074,1.0880217233566734,1.2342730054564003e-08,2.7681975508685768
1,63,1.008834,0.00020640717,3.7943084,1.0880196818248593,2.1492129725851847e-08,2.758481538989877
1,64,1.0006057,0.00022099107,3.7832959,1.0880182039707416,1.9005099741596747e-08,2.7488043811458476
1,65,0.99192923,0.00023598083,3.772267,1.0880176487492073,1.6036017579140256e-08,2.7391759040114585
1,66,0.98280805,0.00025136519,3.7612202,1.088018519318942,8.642227851310406e-09,2.7296067550274277
1,67,0.97324663,0.00026713358,3.7501545,1.0880256265187889,-1.5908811048406004e-08,2.7201329857330983
